"",ID,Imagen,Objeto,Filtro,Fecha,Estrella,Brillo,Tamano,Brillo maximo correspondiente,Promedio correspondiente,Max_brillo_fecha,Min_brillo_fecha,Brillo relativo,Error correspondiente
0,1,28feb0030o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,A,699898.0,5.66,1179000.0,504252.0,699898.0,568078.0,0.593637,0.261417
1,2,28feb0030o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,B,602852.0,5.61,1179000.0,451706.0,602852.0,453174.0,0.511325,0.331362
2,3,28feb0030o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,C,363801.0,5.74,1179000.0,272244.0,363801.0,273646.0,0.308567,0.331155
4,5,28feb0031o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,A,542717.0,5.16,632160.0,587784.0,542717.0,516281.0,0.858512,0.044976
6,7,28feb0031o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,C,362735.0,5.08,632160.0,1436190.0,362735.0,342224.0,0.573803,0.014282
7,8,28feb0031o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,2R,581439.0,5.16,632160.0,658042.0,581439.0,547580.0,0.919766,0.051454
8,9,28feb0032o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,A,438220.0,5.00,595406.0,439463.0,438220.0,422944.0,0.736002,0.034761
10,11,28feb0032o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,C,332373.0,4.76,595406.0,349305.0,332373.0,319899.0,0.558229,0.035711
11,12,28feb0032o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,2R,360319.0,4.87,595406.0,377272.0,360319.0,349054.0,0.605165,0.029859
12,13,28feb0033o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,A,408377.0,4.56,639512.0,608821.0,408377.0,400382.0,0.638576,0.013132
14,15,28feb0033o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,C,349746.0,4.41,639512.0,299741.0,349746.0,338804.0,0.546895,0.036505
15,16,28feb0033o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,2R,244836.0,4.66,639512.0,212157.0,244836.0,242803.0,0.382848,0.009583
16,17,28feb0051o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,A,664593.0,4.69,1090000.0,504252.0,699898.0,568078.0,0.609718,0.261417
17,18,28feb0051o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,B,559314.0,4.66,1090000.0,451706.0,602852.0,453174.0,0.513132,0.331362
18,19,28feb0051o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,C,333972.0,4.65,1090000.0,272244.0,363801.0,273646.0,0.306396,0.331155
20,21,28feb0052o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,A,516281.0,4.67,599452.0,587784.0,542717.0,516281.0,0.861255,0.044976
22,23,28feb0052o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,C,342224.0,4.62,599452.0,1436190.0,362735.0,342224.0,0.570895,0.014282
23,24,28feb0052o.fits,PG1323-086,V-Johnson+Vacio,2017-02-28,2R,547580.0,4.58,599452.0,658042.0,581439.0,547580.0,0.913468,0.051454
24,25,28feb0053o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,A,422944.0,4.73,568627.0,439463.0,438220.0,422944.0,0.743799,0.034761
26,27,28feb0053o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,C,319899.0,4.66,568627.0,349305.0,332373.0,319899.0,0.562581,0.035711
27,28,28feb0053o.fits,PG1323-086,R-Johnson+Vacio,2017-02-28,2R,349054.0,4.70,568627.0,377272.0,360319.0,349054.0,0.613854,0.029859
28,29,28feb0054o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,A,400382.0,3.68,627706.0,608821.0,408377.0,400382.0,0.637850,0.013132
30,31,28feb0054o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,C,338804.0,3.61,627706.0,299741.0,349746.0,338804.0,0.539750,0.036505
31,32,28feb0054o.fits,PG1323-086,I-Johnson+Vacio,2017-02-28,2R,242803.0,3.48,627706.0,212157.0,244836.0,242803.0,0.386810,0.009583
32,33,01mar0076o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,A,568078.0,5.02,895254.0,504252.0,699898.0,568078.0,0.634544,0.261417
33,34,01mar0076o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,B,453174.0,5.03,895254.0,451706.0,602852.0,453174.0,0.506196,0.331362
34,35,01mar0076o.fits,PG1323-086,B-Johnson+Vacio,2017-02-28,C,273646.0,4.92,895254.0,272244.0,363801.0,273646.0,0.305663,0.331155
36,37,01mar0077o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,A,777411.0,5.04,842880.0,587784.0,777411.0,514726.0,0.922327,0.446907
38,39,01mar0077o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,C,484356.0,5.04,842880.0,1436190.0,4555460.0,484356.0,0.574644,2.834656
39,40,01mar0077o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,2R,780994.0,5.08,842880.0,658042.0,780994.0,722155.0,0.926578,0.089415
40,41,01mar0078o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,A,709928.0,5.04,886728.0,439463.0,709928.0,482062.0,0.800615,0.518510
42,43,01mar0078o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,C,503031.0,4.72,886728.0,349305.0,503031.0,479830.0,0.567289,0.066420
43,44,01mar0078o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,2R,541655.0,5.00,886728.0,377272.0,541655.0,519642.0,0.610847,0.058348
44,45,01mar0079o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,A,437577.0,4.72,632547.0,608821.0,437577.0,306135.0,0.691770,0.215896
46,47,01mar0079o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,C,349523.0,5.00,632547.0,299741.0,349523.0,333366.0,0.552564,0.053903
47,48,01mar0079o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,2R,248241.0,5.04,632547.0,212157.0,248241.0,236898.0,0.392447,0.053465
48,49,01mar0097o.fits,PG1323-086,B-Johnson+Vacio,2017-03-01,A,477144.0,5.66,1058000.0,504252.0,477144.0,477144.0,0.450987,0.000000
49,50,01mar0097o.fits,PG1323-086,B-Johnson+Vacio,2017-03-01,B,549282.0,5.57,1058000.0,451706.0,549282.0,549282.0,0.519170,0.000000
50,51,01mar0097o.fits,PG1323-086,B-Johnson+Vacio,2017-03-01,C,330456.0,5.55,1058000.0,272244.0,330456.0,330456.0,0.312340,0.000000
52,53,01mar0098o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,A,514726.0,5.24,4555460.0,587784.0,777411.0,514726.0,0.112991,0.446907
53,54,01mar0098o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,B,780472.0,5.14,4555460.0,713741.0,842880.0,780472.0,0.171327,0.087438
55,56,01mar0098o.fits,PG1323-086,V-Johnson+Vacio,2017-03-01,2R,722155.0,5.23,4555460.0,658042.0,780994.0,722155.0,0.158525,0.089415
56,57,01mar0099o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,A,482062.0,4.87,841389.0,439463.0,709928.0,482062.0,0.572936,0.518510
58,59,01mar0099o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,C,479830.0,4.94,841389.0,349305.0,503031.0,479830.0,0.570283,0.066420
59,60,01mar0099o.fits,PG1323-086,R-Johnson+Vacio,2017-03-01,2R,519642.0,4.88,841389.0,377272.0,541655.0,519642.0,0.617600,0.058348
60,61,01mar0100o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,A,306135.0,4.48,612560.0,608821.0,437577.0,306135.0,0.499763,0.215896
62,63,01mar0100o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,C,333366.0,4.46,612560.0,299741.0,349523.0,333366.0,0.544218,0.053903
63,64,01mar0100o.fits,PG1323-086,I-Johnson+Vacio,2017-03-01,2R,236898.0,4.40,612560.0,212157.0,248241.0,236898.0,0.386734,0.053465
64,65,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,A,95802.0,5.02,1118000.0,88475.5,95802.0,95802.0,0.085691,0.000000
65,66,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,B,175764.0,4.86,1118000.0,162304.0,175764.0,175764.0,0.157213,0.000000
66,67,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,C,239130.0,5.03,1118000.0,220580.0,239130.0,239130.0,0.213891,0.000000
68,69,28feb0021o.fits,PG0918+029,I-Johnson+Vacio,2017-02-28,2R,113119.0,4.90,1118000.0,103600.0,113119.0,113119.0,0.101180,0.000000
69,70,28feb0022o.fits,PG0918+029,R-Johnson+Vacio,2017-02-28,A,121045.0,4.76,1172000.0,129644.0,121045.0,121045.0,0.103281,0.000000
70,71,28feb0022o.fits,PG0918+029,R-Johnson+Vacio,2017-02-28,B,216770.0,4.93,1172000.0,230771.0,216770.0,216770.0,0.184957,0.000000
